route_id,service_id,agency_id,,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8703,90,MMT,01,,OLD UNIV:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-1,E3D23E,000000,1
8704,90,MMT,02,,WEST TP:NORTH TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,981F66,FFFFFF,1
8705,90,MMT,03,,WEST TP:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-3,CD8382,000000,1
8706,90,MMT,04,,SOUTH TP:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,42784D,000000,1
8707,90,MMT,05,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B46A5B,000000,1
8708,90,MMT,06,,E TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Tokay and Madison College.,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,CC382C,000000,1
8709,90,MMT,07,,WEST TP:EAST TP,Daily schedule trips via Monroe operate regularly every 30 minutes. Trips via Tokay suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,AEC34B,000000,1
8710,90,MMT,08,,SPRNG HB:CAP SQR,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,D8A464,000000,1
8711,90,MMT,10,,UNIV ROW:UNION CS,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-10,919249,000000,1
8712,90,MMT,11,,DUTCH ML:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,D3886A,000000,1
8713,90,MMT,12,,DUTCH ML:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-12,9B8821,000000,1
8714,90,MMT,13,,U CAMPUS:SOUTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-13,803E0E,000000,1
8715,90,MMT,14,,WEXFD RG:ETP/SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-14,778D22,000000,1
8716,90,MMT,15,,JUNCT RG:ETP/SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-15,C3C946,000000,1
8717,90,MMT,16,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-16,B86FAD,000000,1
8718,90,MMT,17,,NORTH TP:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-17,4D6BB1,000000,1
8719,90,MMT,18,,WEST TP:SOUTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Hammersley and Coho.,3,http://www.cityofmadison.com/metro/routes-schedules/route-18,4A67AE,000000,1
8720,90,MMT,19,,DUNNS MARSH:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-19,B8DB99,000000,1
8721,90,MMT,20,,E TOWNE:NORTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Shopko.,3,http://www.cityofmadison.com/metro/routes-schedules/route-20,A7533E,000000,1
8722,90,MMT,21,,LAKEVIEW:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-21,7F9784,000000,1
8723,90,MMT,22,,MENDOTA:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-22,7DBC9F,000000,1
8724,90,MMT,23,,S PRAIRIE:CAP SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-23,FAA61A,000000,1
8725,90,MMT,25,,AMERICAN:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-25,A29F9A,000000,1
8726,90,MMT,26,,AMERICAN:E TOWNE,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-26,653A91,FFFFFF,1
8727,90,MMT,27,,U CAMPUS:NORTH TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-27,7DC0D0,000000,1
8728,90,MMT,28,,NORTH TP:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,6AB6D1,000000,1
8729,90,MMT,29,,SCHOOL:BREESE,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-29,5C99A5,000000,1
8730,90,MMT,30,,E TOWNE:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-30,DA8A39,000000,1
8731,90,MMT,31,,MARSH RD:EAST TP,Daily schedule trips via Dutch Mill operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-31,841D1D,FFFFFF,1
8732,90,MMT,32,,ACEWOOD-THOMPSON:ETP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-32,5580A9,000000,1
8733,90,MMT,33,,SPRECHER-THOMPSON:ETP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-33,5FA79D,000000,1
8734,90,MMT,34,,MATC:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-34,976C25,000000,1
8735,90,MMT,35,,ATLAS-ACEWOOD:ETP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-35,C8537D,000000,1
8736,90,MMT,36,,E SPRINGS:E TOWNE,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-36,4D5613,000000,1
8737,90,MMT,37,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-37,CB6B77,000000,1
8738,90,MMT,38,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,1
8739,90,MMT,39,,WORLD DY:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-39,7493A8,000000,1
8740,90,MMT,40,,GRNDVIEW/TODD:STP,Daily schedule trips via Grandview operate regularly every 60 minutes. Trips via Todd suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
8741,90,MMT,44,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly northbound every 30 minutes from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
8742,90,MMT,47,,ARBOR HL:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
8743,90,MMT,48,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes southbound from approximately 7 AM until 8 AM and northbound every 30 minutes from approximately 4 PM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
8744,90,MMT,49,,LACY-HATCHERY:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
8745,90,MMT,50,,RAYMOND:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-50,D77734,000000,1
8746,90,MMT,51,,MUIR FLD:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-51,D05898,000000,1
8747,90,MMT,52,,ORCHARD PT:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-52,6D2C50,FFFFFF,1
8748,90,MMT,55,,VERONA:WEST TP,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,D5BC5B,000000,1
8749,90,MMT,56,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-56,937A6C,000000,1
8750,90,MMT,57,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-57,84743E,000000,1
8751,90,MMT,58,,GRNTREE:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-58,A0A197,000000,1
8752,90,MMT,59,,FITCHBURG:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,E09FC0,000000,1
8753,90,MMT,63,,PR TOWN:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-63,D7A23A,000000,1
8754,90,MMT,67,,W TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,6584A4,000000,1
8755,90,MMT,68,,PR TOWN:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,5EA95A,000000,1
8756,90,MMT,70,,MIDDLTON:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A8B1DA,000000,1
8757,90,MMT,71,,MIDDLTON:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-71,B67F72,000000,1
8758,90,MMT,72,,MIDDLTON:CAP SQR,Weekday schedule trips operate regularly every 30 minutes eastbound from approximately 6 AM until 8 AM and westbound every 30 minutes from approximately 3 PM until 5 PM. Limited trips operate westbound in the AM and eastbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,841D1D,FFFFFF,1
8759,90,MMT,73,,MIDDLTON:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,DFB93E,000000,1
8760,90,MMT,75,,VERONA:CAP SQR,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,E0993A,000000,1
8761,90,MMT,78,,MIDDLTON:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,365AA6,FFFFFF,1
8762,90,MMT,80,,EAGLE HT:UW UNION,Daily schedule trips operate at least every 60 minutes. Additional weekday schedule trips operate at least every 15 minutes from approximately 7 AM until 6 PM. No trips operate on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,B33927,000000,1
8763,90,MMT,81,,OBSRVTRY/JOHNSON:UNION,Daily schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,DD9139,000000,1
8764,90,MMT,82,,BREESE/W WASH:UNION,Daily schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,3F6AB2,000000,1
8765,90,MMT,84,,EAGLE HT:U CAMPUS,Weekday schedule trips operate at least every 30 minutes westbound from approximately 5 PM until 7 PM. No trips operate on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,60348E,000000,1
8865,90,MMT,01,,OLD UNIV:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-1,E3D23E,000000,1
8866,90,MMT,02,,WEST TP:NORTH TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,981F66,FFFFFF,1
8867,90,MMT,03,,WEST TP:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-3,CD8382,000000,1
8868,90,MMT,04,,SOUTH TP:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,42784D,000000,1
8869,90,MMT,05,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B46A5B,000000,1
8870,90,MMT,06,,E TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Tokay and Madison College.,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,CC382C,000000,1
8871,90,MMT,07,,WEST TP:EAST TP,Daily schedule trips via Monroe operate regularly every 30 minutes. Trips via Tokay suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-7,AEC34B,000000,1
8872,90,MMT,08,,SPRNG HB:CAP SQR,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-8,D8A464,000000,1
8873,90,MMT,10,,UNIV ROW:UNION CS,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-10,919249,000000,1
8874,90,MMT,11,,DUTCH ML:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-11,D3886A,000000,1
8875,90,MMT,12,,DUTCH ML:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-12,9B8821,000000,1
8876,90,MMT,13,,U CAMPUS:SOUTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-13,803E0E,000000,1
8877,90,MMT,14,,WEXFD RG:ETP/SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-14,778D22,000000,1
8878,90,MMT,15,,JUNCT RG:ETP/SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-15,C3C946,000000,1
8879,90,MMT,16,,SOUTH TP:EAST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-16,B86FAD,000000,1
8880,90,MMT,17,,NORTH TP:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-17,4D6BB1,000000,1
8881,90,MMT,18,,WEST TP:SOUTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Hammersley and Coho.,3,http://www.cityofmadison.com/metro/routes-schedules/route-18,4A67AE,000000,1
8882,90,MMT,19,,DUNNS MARSH:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-19,B8DB99,000000,1
8883,90,MMT,20,,E TOWNE:NORTH TP,Daily schedule trips operate regularly every 30 minutes. Limited trips operate via Shopko.,3,http://www.cityofmadison.com/metro/routes-schedules/route-20,A7533E,000000,1
8884,90,MMT,21,,LAKEVIEW:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-21,7F9784,000000,1
8885,90,MMT,22,,MENDOTA:NORTH TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-22,7DBC9F,000000,1
8886,90,MMT,23,,S PRAIRIE:CAP SQR,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-23,FAA61A,000000,1
8887,90,MMT,25,,AMERICAN:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-25,A29F9A,000000,1
8888,90,MMT,26,,AMERICAN:E TOWNE,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-26,653A91,FFFFFF,1
8889,90,MMT,27,,U CAMPUS:NORTH TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-27,7DC0D0,000000,1
8890,90,MMT,28,,NORTH TP:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,6AB6D1,000000,1
8891,90,MMT,29,,SCHOOL:BREESE,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-29,5C99A5,000000,1
8892,90,MMT,30,,E TOWNE:EAST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-30,DA8A39,000000,1
8893,90,MMT,31,,MARSH RD:EAST TP,Daily schedule trips via Dutch Mill operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-31,841D1D,FFFFFF,1
8894,90,MMT,32,,ACEWOOD-THOMPSON:ETP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-32,5580A9,000000,1
8895,90,MMT,33,,SPRECHER-THOMPSON:ETP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-33,5FA79D,000000,1
8896,90,MMT,34,,MATC:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-34,976C25,000000,1
8897,90,MMT,35,,ATLAS-ACEWOOD:ETP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-35,C8537D,000000,1
8898,90,MMT,36,,E SPRINGS:E TOWNE,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-36,4D5613,000000,1
8899,90,MMT,37,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-37,CB6B77,000000,1
8900,90,MMT,38,,SHEBOYGN:PFLAUM,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-38,8D89B3,000000,1
8901,90,MMT,39,,WORLD DY:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-39,7493A8,000000,1
8902,90,MMT,40,,GRNDVIEW/TODD:STP,Daily schedule trips via Grandview operate regularly every 60 minutes. Trips via Todd suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
8903,90,MMT,44,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly northbound every 30 minutes from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
8904,90,MMT,47,,ARBOR HL:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
8905,90,MMT,48,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes southbound from approximately 7 AM until 8 AM and northbound every 30 minutes from approximately 4 PM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
8906,90,MMT,49,,LACY-HATCHERY:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
8907,90,MMT,50,,RAYMOND:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-50,D77734,000000,1
8908,90,MMT,51,,MUIR FLD:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-51,D05898,000000,1
8909,90,MMT,52,,ORCHARD PT:WEST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-52,6D2C50,FFFFFF,1
8910,90,MMT,55,,VERONA:WEST TP,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,D5BC5B,000000,1
8911,90,MMT,56,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-56,937A6C,000000,1
8912,90,MMT,57,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-57,84743E,000000,1
